145/6848, 760.0, 195, [([[24, 30], [70, 30], [70, 54], [24, 54]], '7.46', 0.6449060108947152)]
146/6848, 764.17, 195, [([[24, 30], [70, 30], [70, 54], [24, 54]], '7.46', 0.5858018401686218)]
147/6848, 768.33, 195, [([[25, 33], [69, 33], [69, 53], [25, 53]], '7.46', 0.9163002396311146)]
148/6848, 772.5, 195, [([[25, 33], [69, 33], [69, 53], [25, 53]], '7.46', 0.5636861895900118)]
149/6848, 776.67, 195, [([[27, 33], [69, 33], [69, 53], [27, 53]], '7.46', 0.39754704013835823)]
150/6848, 780.83, 195, [([[27, 33], [69, 33], [69, 53], [27, 53]], '7.46', 0.3966769705892613)]
151/6848, 789.17, 195, [([[25, 33], [69, 33], [69, 53], [25, 53]], '7.46', 0.9161307249128039)]
152/6848, 793.33, 195, [([[25, 33], [69, 33], [69, 53], [25, 53]], '7.A6', 0.34305722586230947)]
153/6848, 797.5, 195, [([[25, 33], [69, 33], [69, 53], [25, 53]], '7.46', 0.7278865519816086)]
154/6848, 810.0, 195, [([[25, 33], [69, 33], [69, 53], [25, 53]], '7.46', 0.7429231405258179)]
155/6848, 814.17, 195, [([[25, 33], [69, 33], [69, 53], [25, 53]], '7.46', 0.8105953931808472)]
156/6848, 818.33, 195, [([[24, 32], [70, 32], [70, 56], [24, 56]], '7.46', 0.8258110483341934)]
157/6848, 822.5, 195, [([[24, 32], [70, 32], [70, 56], [24, 56]], '7..6', 0.31572777032852173)]
158/6848, 826.67, 195, [([[24, 32], [70, 32], [70, 56], [24, 56]], '3.46', 0.43783247470855713)]
159/6848, 830.83, 195, [([[24, 32], [70, 32], [70, 56], [24, 56]], '3.26', 0.9793946743011475)]
160/6848, 835.0, 195, [([[24, 32], [70, 32], [70, 56], [24, 56]], '3.76', 0.6728236675262451)]
161/6848, 839.17, 195, [([[24, 32], [70, 32], [70, 56], [24, 56]], '3.26', 0.7598107411049677)]
162/6848, 847.5, 195, [([[24, 32], [68, 32], [68, 56], [24, 56]], '3.26', 0.9899119734764099)]
163/6848, 851.67, 195, [([[24, 32], [68, 32], [68, 56], [24, 56]], '3.26', 0.5607230395387763)]
164/6848, 855.83, 195, [([[24, 32], [68, 32], [68, 56], [24, 56]], '3.26', 0.8775469691849448)]
165/6848, 868.33, 195, [([[24, 32], [68, 32], [68, 56], [24, 56]], '3.26', 0.5839172995753158)]
166/6848, 872.5, 195, [([[25, 35], [69, 35], [69, 55], [25, 55]], '3.26', 0.9955078566678663)]
167/6848, 877.08, 195, [([[25, 35], [69, 35], [69, 55], [25, 55]], '3.26', 0.9980392769426016)]
168/6848, 881.25, 195, [([[25, 35], [69, 35], [69, 55], [25, 55]], '3.26', 0.9961219951436487)]
169/6848, 885.42, 195, [([[25, 35], [69, 35], [69, 55], [25, 55]], '3.26', 0.994933628210043)]
170/6848, 889.58, 195, [([[25, 35], [69, 35], [69, 55], [25, 55]], '3.26', 0.9993478623287868)]
171/6848, 893.75, 195, [([[24, 34], [70, 34], [70, 58], [24, 58]], '3.26', 0.9999546408653259)]
172/6848, 897.92, 195, [([[26, 34], [70, 34], [70, 58], [26, 58]], '3.26', 0.9999772310256958)]
173/6848, 902.08, 195, [([[24, 34], [70, 34], [70, 58], [24, 58]], '3.26', 0.562295492401527)]
174/6848, 906.25, 195, [([[24, 34], [70, 34], [70, 58], [24, 58]], '3.26', 0.9895384484036319)]
175/6848, 914.58, 195, [([[26, 34], [70, 34], [70, 58], [26, 58]], '3.26', 0.9998943209648132)]
176/6848, 918.75, 195, [([[26, 34], [70, 34], [70, 58], [26, 58]], '3.26', 0.9430370274267873)]
177/6848, 922.92, 195, [([[26, 34], [70, 34], [70, 58], [26, 58]], '3.26', 0.9947096202814589)]
178/6848, 935.42, 195, [([[26, 34], [70, 34], [70, 58], [26, 58]], '3.26', 0.995724789096293)]
179/6848, 939.58, 195, [([[26, 34], [70, 34], [70, 58], [26, 58]], '3.26', 0.9929793046125243)]
180/6848, 943.75, 195, [([[27, 37], [69, 37], [69, 57], [27, 57]], '3.26', 0.9336563638304416)]
181/6848, 947.92, 195, [([[27, 37], [69, 37], [69, 57], [27, 57]], '3.26', 0.6502550358913741)]
182/6848, 952.08, 195, [([[27, 37], [69, 37], [69, 57], [27, 57]], '3.26', 0.9998694658279419)]
183/6848, 956.25, 195, [([[26, 36], [70, 36], [70, 60], [26, 60]], '3.26', 0.9993072353477537)]
184/6848, 960.42, 195, [([[26, 36], [70, 36], [70, 60], [26, 60]], '3.26', 0.9948169115218194)]
185/6848, 964.58, 195, [([[26, 36], [70, 36], [70, 60], [26, 60]], '3.26', 0.9905755767271305)]
186/6848, 968.75, 195, [([[26, 36], [70, 36], [70, 60], [26, 60]], '3.26', 0.8767534879567851)]
187/6848, 977.08, 195, [([[26, 36], [70, 36], [70, 60], [26, 60]], '3.26', 0.9875048111707319)]
188/6848, 981.25, 195, [([[26, 36], [72, 36], [72, 60], [26, 60]], '3.26', 0.9999626874923706)]
189/6848, 985.42, 195, [([[26, 36], [72, 36], [72, 60], [26, 60]], '3.26', 0.9997870922088623)]
190/6848, 997.92, 195, [([[26, 36], [72, 36], [72, 60], [26, 60]], '3.26', 0.6927130972198601)]
191/6848, 1002.08, 195, [([[26, 36], [72, 36], [72, 60], [26, 60]], '3.26', 0.6938521692091384)]
192/6848, 1006.25, 195, [([[26, 36], [72, 36], [72, 60], [26, 60]], '3.26', 0.6349270794270989)]
193/6848, 1010.42, 195, [([[26, 36], [72, 36], [72, 60], [26, 60]], '3.26', 0.9319799102343105)]
194/6848, 1014.58, 195, [([[26, 36], [72, 36], [72, 60], [26, 60]], '3.26', 0.9101840498932852)]
195/6848, 1018.75, 195, [([[26, 35], [73, 35], [73, 62], [26, 62]], '3.26', 0.9996863603591919)]
196/6848, 1022.92, 195, [([[26, 35], [73, 35], [73, 62], [26, 62]], '3.26', 0.9997435808181763)]
197/6848, 1027.08, 195, [([[26, 38], [72, 38], [72, 62], [26, 62]], '3.26', 0.7500972267158188)]
198/6848, 1031.25, 195, [([[26, 38], [72, 38], [72, 62], [26, 62]], '3.26', 0.9999209046363831)]
199/6848, 1039.58, 195, [([[26, 38], [72, 38], [72, 62], [26, 62]], '3.26', 0.999949038028717)]
200/6848, 1043.75, 195, [([[26, 38], [72, 38], [72, 62], [26, 62]], '3.26', 0.99992835521698)]
201/6848, 1047.92, 195, [([[26, 38], [72, 38], [72, 62], [26, 62]], '3.26', 0.5638136287030312)]
202/6848, 1060.42, 195, [([[26, 38], [72, 38], [72, 62], [26, 62]], '3.26', 0.9999106526374817)]
203/6848, 1064.58, 195, [([[26, 38], [72, 38], [72, 62], [26, 62]], '3.26', 0.6440052115835223)]
204/6848, 1068.75, 195, [([[26, 38], [72, 38], [72, 62], [26, 62]], '3.26', 0.6860846928151253)]
205/6848, 1072.92, 195, [([[26, 38], [72, 38], [72, 62], [26, 62]], '3.26', 0.895031538808584)]
206/6848, 1077.5, 195, [([[26, 38], [72, 38], [72, 62], [26, 62]], '3.85', 0.6574854850769043)]
207/6848, 1081.67, 195, [([[26, 38], [70, 38], [70, 62], [26, 62]], '3.07', 0.998935341835022)]
208/6848, 1085.83, 195, [([[28, 38], [70, 38], [70, 62], [28, 62]], '3.07', 0.5959444574391107)]
209/6848, 1090.0, 195, [([[28, 38], [70, 38], [70, 62], [28, 62]], '3.07', 0.6045867387457265)]
210/6848, 1094.17, 195, [([[28, 38], [70, 38], [70, 62], [28, 62]], '3.07', 0.9994286894798279)]
211/6848, 1102.5, 195, [([[28, 38], [72, 38], [72, 62], [28, 62]], '3.07', 0.9987145066261292)]
212/6848, 1110.83, 195, [([[28, 38], [72, 38], [72, 62], [28, 62]], '3.07', 0.9995178580284119)]
213/6848, 1115.0, 195, [([[28, 38], [72, 38], [72, 62], [28, 62]], '3.07', 0.9992029478739762)]
214/6848, 1119.17, 195, [([[28, 38], [72, 38], [72, 62], [28, 62]], '3.07', 0.9993894100189209)]
215/6848, 1131.67, 195, [([[28, 38], [72, 38], [72, 62], [28, 62]], '3.07', 0.6245008502365258)]
216/6848, 1135.83, 195, [([[28, 38], [72, 38], [72, 62], [28, 62]], '3.07', 0.6811061411705763)]
217/6848, 1140.0, 195, [([[28, 38], [72, 38], [72, 62], [28, 62]], '3.07', 0.7692292928265697)]
218/6848, 1144.17, 195, [([[28, 38], [72, 38], [72, 62], [28, 62]], '3.07', 0.9006200848999316)]
219/6848, 1148.33, 195, [([[28, 38], [72, 38], [72, 62], [28, 62]], '3.07', 0.8918356949552834)]
220/6848, 1152.5, 195, [([[28, 38], [72, 38], [72, 62], [28, 62]], '3.07', 0.9384436626651805)]
221/6848, 1156.67, 195, [([[28, 38], [72, 38], [72, 62], [28, 62]], '3.07', 0.9378971647253137)]
222/6848, 1160.83, 195, [([[28, 38], [72, 38], [72, 62], [28, 62]], '3.07', 0.9992002287048674)]
223/6848, 1165.0, 195, [([[28, 38], [72, 38], [72, 62], [28, 62]], '3.07', 0.8602034899879726)]
224/6848, 1173.33, 195, [([[29, 41], [71, 41], [71, 61], [29, 61]], '3.07', 0.9995012879371643)]
225/6848, 1177.5, 195, [([[28, 38], [72, 38], [72, 62], [28, 62]], '3.07', 0.9967712883677426)]
226/6848, 1181.67, 195, [([[28, 38], [72, 38], [72, 62], [28, 62]], '3.07', 0.9951946896372021)]
227/6848, 1194.17, 195, [([[29, 41], [71, 41], [71, 61], [29, 61]], '3.07', 0.9992278218269348)]
228/6848, 1198.33, 195, [([[29, 41], [71, 41], [71, 61], [29, 61]], '3.07', 0.9991262555122375)]
229/6848, 1202.5, 195, [([[29, 41], [71, 41], [71, 61], [29, 61]], '3.07', 0.9997961521148682)]
230/6848, 1206.67, 195, [([[29, 41], [71, 41], [71, 61], [29, 61]], '3.07', 0.9998275637626648)]
231/6848, 1210.83, 195, [([[29, 41], [71, 41], [71, 61], [29, 61]], '3.07', 0.9998816847801208)]
232/6848, 1215.0, 195, [([[29, 41], [71, 41], [71, 61], [29, 61]], '3.07', 0.9998956322669983)]
233/6848, 1219.17, 195, [([[28, 40], [72, 40], [72, 64], [28, 64]], '3.07', 0.8765026940810565)]
234/6848, 1223.33, 195, [([[28, 40], [72, 40], [72, 64], [28, 64]], '3.07', 0.9916575635077132)]
235/6848, 1231.67, 195, [([[28, 40], [72, 40], [72, 64], [28, 64]], '3.07', 0.9841405397351362)]
236/6848, 1235.83, 195, [([[28, 40], [72, 40], [72, 64], [28, 64]], '3.07', 0.5937030094587001)]
237/6848, 1240.0, 195, [([[28, 40], [72, 40], [72, 64], [28, 64]], '3.07', 0.7970788632779068)]
238/6848, 1244.17, 195, [([[28, 40], [72, 40], [72, 64], [28, 64]], '3.07', 0.9956358192054662)]
239/6848, 1248.33, 195, [([[28, 40], [72, 40], [72, 64], [28, 64]], '3.07', 0.6800465782442339)]
240/6848, 1252.5, 195, [([[28, 40], [72, 40], [72, 64], [28, 64]], '3.07', 0.6178554953693203)]
241/6848, 1256.67, 195, [([[28, 40], [72, 40], [72, 64], [28, 64]], '3.07', 0.9713873338100552)]
242/6848, 1260.83, 195, [([[28, 40], [72, 40], [72, 64], [28, 64]], '3.07', 0.8172668218612671)]
243/6848, 1265.0, 195, [([[28, 40], [72, 40], [72, 64], [28, 64]], '3.23', 0.9969241619110107)]
244/6848, 1269.17, 195, [([[28, 40], [72, 40], [72, 64], [28, 64]], '3.23', 0.9993668794631958)]
245/6848, 1273.75, 195, [([[28, 40], [72, 40], [72, 64], [28, 64]], '3.23', 0.9997889399528503)]
